timestamp,load-1m,load-5m,load-15m,sys-mem-swap-total,sys-mem-swap-free,sys-mem-free,sys-mem-cache,sys-mem-buffered,sys-mem-available,sys-mem-total,sys-fork-rate,sys-interrupt-rate,sys-context-switch-rate,sys-thermal,disk-io-time,disk-bytes-read,disk-bytes-written,disk-io-read,disk-io-write,cpu-iowait,cpu-system,cpu-user,server-up
2160,0.11,0.08,0.01,16952324096,16926896128,505610240,5079334912,870981632,6767529984,8080035840,0.9,1215.4,4216.7,1.65,0.0018000000000029,0.0,21299.2,0.0,0.8500000000000001,0.0035000000000081,0.0385000000000218,0.0870000000002619,2
2190,0.14,0.09,0.02,16952324096,16926896128,525271040,5079384064,870981632,6787256320,8080035840,1.3,988.25,1950.95,0.05,0.0018000000000029,0.0,43008.0,0.0,1.3,0.002500000000009,0.0125000000000909,0.0144999999998617,2
2220,0.08,0.08,0.01,16952324096,16926896128,524759040,5079478272,870981632,6786838528,8080035840,3.25,1016.1,1990.55,1.7000000000000002,0.0029999999999745,0.0,33587.200000000004,0.0,3.3000000000000003,0.0014999999999872,0.0274999999997817,0.018000000000211,2
2250,0.05,0.07,0.01,16952324096,16926896128,506085376,5080956928,870985728,6769627136,8080035840,6.550000000000001,1311.1,4323.05,0.0,0.0018000000000029,0.0,38912.0,0.0,3.3000000000000003,0.0045000000000072,0.0654999999999745,0.0924999999997453,2
2280,0.03,0.06,0.01,16952324096,16926896128,524480512,5081108480,870985728,6788194304,8080035840,1.8,1082.55,2356.9500000000003,0.0,0.0029999999999745,0.0,108748.8,0.0,4.0,0.0020000000000436,0.018999999999869,0.0175000000004729,2
2310,0.02,0.06,0.01,16952324096,16926896128,516988928,5081219072,870989824,6780805120,8080035840,1.0,1024.1,2144.35,0.2,0.0024000000000341,0.0,43827.2,0.0,5.2,0.0019999999999754,0.0119999999998071,0.0159999999999854,2
2340,0.01,0.05,0.0,16952324096,16926896128,515956736,5081243648,870989824,6779805696,8080035840,0.95,1030.9,2098.3,1.55,0.0018000000000029,0.0,34406.4,0.0,4.65,0.0015000000000327,0.0135000000000218,0.0155000000002473,2
2370,0.0,0.04,0.0,16952324096,16926896128,504090624,5082832896,870989824,6769520640,8080035840,7.65,1191.6,3300.15,0.15,0.0021999999999934,0.0,58163.2,0.0,5.050000000000001,0.0039999999999963,0.0489999999997962,0.0364999999997962,2
2400,0.0,0.04,0.0,16952324096,16926896128,517640192,5084024832,870989824,6784282624,8080035840,2.15,1091.25,2629.6000000000004,1.6,0.0026000000000749,0.0,157081.6,0.0,3.85,0.0034999999999627,0.0225000000000363,0.0235000000002401,2
2430,0.0,0.03,0.0,16952324096,16926896128,508952576,5084192768,870989824,6775750656,8080035840,2.1,1039.95,2296.65,1.6,0.0019999999999527,0.0,32153.6,0.0,3.0500000000000003,0.002500000000009,0.0149999999998726,0.0195000000003346,2
